feedback,category
The food was cold and tasteless,Food Quality
My order arrived very late,Delivery Issue
The pizza was fresh and delicious,Food Quality
Delivery person came to the wrong location,Delivery Issue
The burger was undercooked,Food Quality
My food package was damaged during delivery,Delivery Issue
The meal quality was excellent,Food Quality
I waited more than an hour for my order,Delivery Issue
The food was stale and poorly packed,Food Quality
Items were missing from my delivery,Delivery Issue
The taste of the food was amazing,Food Quality
Delivery was delayed without any update,Delivery Issue
The food quality was disappointing,Food Quality
The delivery executive was very rude,Delivery Issue
Fresh food and good portion size,Food Quality
